"Feature","Gain"
"Middle.cerebellar.peduncle",0.255654280590657
"Anterior.limb.of.internal.capsule.R",0.123022726704764
"Medial.lemniscus.R",0.0749316890104604
"Pontine.crossing.tract.(a.part.of.MCP)",0.0401847829105725
"Cerebral.peduncle.L",0.0367145275837162
"Genu.of.corpus.callosum",0.0280335845037362
"Anterior.corona.radiata.L",0.0215696056531137
"Uncinate.fasciculus.L",0.0200336033108118
"External.capsule.R",0.0165564920035116
"Corticospinal.tract.R",0.0163456884625615
"Posterior.corona.radiata.L",0.0163384568407971
"Corticospinal.tract.L",0.0158549346240582
"Inferior.fronto-occipital.fasciculus.L",0.0133793503804242
"Retrolenticular.part.of.internal.capsule.L",0.012317507079321
"Tapetum.L",0.00941605536919679
"Fornix.(column.and.body.of.fornix)",0.0059407926415102
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00208838575723197
"Retrolenticular.part.of.internal.capsule.R",0.00150950135684189
